Student Major,AVG HS GPA,Average Transfer GPA,Applicant Status,Local Preference
Africana Studies BA,2.27,0,Applied,Local
Africana Studies BA,2.62,0,Applied,Non-Local
Africana Studies BA,2.67,0,Applied,Non-Local
Africana Studies BA,2.88,0,Admitted,Local
Africana Studies BA,2.92,0,Applied,Non-Local
Africana Studies BA,2.92,0,Applied,Non-Local
Africana Studies BA,3,0,Applied,Non-Local
Africana Studies BA,3.05,0,Applied,Non-Local
Africana Studies BA,3.07,0,Admitted,Non-Local
Africana Studies BA,3.1,0,Applied,Non-Local
Africana Studies BA,3.15,0,Applied,Non-Local
Africana Studies BA,3.18,0,Applied,Non-Local
Africana Studies BA,3.27,0,Applied,Non-Local
Africana Studies BA,3.35,0,Applied,Non-Local
Africana Studies BA,3.36,0,Applied,Non-Local
Africana Studies BA,3.37,0,Applied,Non-Local
Africana Studies BA,3.38,0,Applied,Non-Local
Africana Studies BA,3.38,0,Applied,Non-Local
Africana Studies BA,3.39,0,Applied,Non-Local
Africana Studies BA,3.41,0,Applied,Non-Local
Africana Studies BA,3.5,0,Applied,Non-Local
Africana Studies BA,3.52,0,Applied,Non-Local
Africana Studies BA,3.54,0,Applied,Non-Local
Africana Studies BA,3.68,0,Applied,Non-Local
Africana Studies BA,3.71,0,Applied,Non-Local
Africana Studies BA,3.72,0,Applied,Non-Local
Africana Studies BA,3.73,0,Applied,Non-Local
Africana Studies BA,3.88,0,Admitted,Non-Local
Africana Studies BA,3.9,0,Admitted,Non-Local
Africana Studies BA,3.95,0,Admitted,Non-Local
Africana Studies BA,3.96,0,Admitted,Non-Local
Africana Studies BA,4.04,0,Applied,Non-Local
Africana Studies BA,4.05,0,Applied,Non-Local
Africana Studies BA,4.08,0,Admitted,Non-Local
Africana Studies BA,4.17,0,Admitted,Non-Local
Africana Studies BA,4.25,0,Admitted,Non-Local
Africana Studies BA,4.3,0,Admitted,Non-Local
American Studies BA,2.07,0,Applied,Non-Local
American Studies BA,2.72,0,Applied,Non-Local
American Studies BA,2.92,0,Applied,Non-Local
American Studies BA,2.94,0,Applied,Non-Local
American Studies BA,2.95,0,Applied,Non-Local
American Studies BA,3.05,0,Admitted,Local
American Studies BA,3.13,0,Applied,Non-Local
American Studies BA,3.24,0,Enrolled,Local
American Studies BA,3.33,0,Applied,Non-Local
American Studies BA,3.36,0,Admitted,Local
American Studies BA,3.42,0,Applied,Non-Local
American Studies BA,3.42,0,Applied,Non-Local
American Studies BA,3.48,0,Enrolled,Local
American Studies BA,3.74,0,Applied,Non-Local
American Studies BA,3.91,0,Applied,Non-Local
American Studies BA,3.91,0,Applied,Non-Local
American Studies BA,3.95,0,Admitted,Non-Local
American Studies BA,4.14,0,Applied,Non-Local
American Studies BA,4.28,0,Admitted,Non-Local
American Studies BA,4.29,0,Admitted,Non-Local
American Studies BA,4.33,0,Admitted,Non-Local
American Studies BA,4.33,0,Admitted,Non-Local
Anthropology BA,3.84,4,Enrolled,Non-Local
Anthropology BA,4.09,4,Enrolled,Local
Anthropology BA,1.89,0,Applied,Non-Local
Anthropology BA,4.36,0,Admitted,Non-Local
Anthropology BA,2.44,0,Applied,Non-Local
Anthropology BA,2.57,0,Applied,Non-Local
Anthropology BA,2.67,0,Applied,Non-Local
Anthropology BA,2.71,0,Applied,Non-Local
Anthropology BA,2.78,0,Admitted,Non-Local
Anthropology BA,2.79,0,Applied,Non-Local
Anthropology BA,2.83,0,Applied,Non-Local
Anthropology BA,2.86,0,Applied,Non-Local
Anthropology BA,2.86,0,Applied,Non-Local
Anthropology BA,2.87,0,Applied,Non-Local
Anthropology BA,2.88,0,Applied,Non-Local
Anthropology BA,2.88,0,Applied,Non-Local
Anthropology BA,2.91,0,Applied,Non-Local
Anthropology BA,2.92,0,Applied,Non-Local
Anthropology BA,2.96,0,Applied,Non-Local
