Student Major,AVG HS GPA,Average Transfer GPA,Applicant Status,Local Preference
Africana Studies BA,2.27,no,Applied,Local
Africana Studies BA,2.62,no,Applied,Non-Local
Africana Studies BA,2.67,no,Applied,Non-Local
Africana Studies BA,2.88,no,Admitted,Local
Africana Studies BA,2.92,no,Applied,Non-Local
Africana Studies BA,2.92,no,Applied,Non-Local
Africana Studies BA,3,no,Applied,Non-Local
Africana Studies BA,3.05,no,Applied,Non-Local
Africana Studies BA,3.07,no,Admitted,Non-Local
Africana Studies BA,3.1,no,Applied,Non-Local
Africana Studies BA,3.15,no,Applied,Non-Local
Africana Studies BA,3.18,no,Applied,Non-Local
Africana Studies BA,3.27,no,Applied,Non-Local
Africana Studies BA,3.35,no,Applied,Non-Local
Africana Studies BA,3.36,no,Applied,Non-Local
Africana Studies BA,3.37,no,Applied,Non-Local
Africana Studies BA,3.38,no,Applied,Non-Local
Africana Studies BA,3.38,no,Applied,Non-Local
Africana Studies BA,3.39,no,Applied,Non-Local
Africana Studies BA,3.41,no,Applied,Non-Local
Africana Studies BA,3.5,no,Applied,Non-Local
Africana Studies BA,3.52,no,Applied,Non-Local
Africana Studies BA,3.54,no,Applied,Non-Local
Africana Studies BA,3.68,no,Applied,Non-Local
Africana Studies BA,3.71,no,Applied,Non-Local
Africana Studies BA,3.72,no,Applied,Non-Local
Africana Studies BA,3.73,no,Applied,Non-Local
Africana Studies BA,3.88,no,Admitted,Non-Local
Africana Studies BA,3.9,no,Admitted,Non-Local
Africana Studies BA,3.95,no,Admitted,Non-Local
Africana Studies BA,3.96,no,Admitted,Non-Local
Africana Studies BA,4.04,no,Applied,Non-Local
Africana Studies BA,4.05,no,Applied,Non-Local
Africana Studies BA,4.08,no,Admitted,Non-Local
Africana Studies BA,4.17,no,Admitted,Non-Local
Africana Studies BA,4.25,no,Admitted,Non-Local
Africana Studies BA,4.3,no,Admitted,Non-Local
American Studies BA,2.07,no,Applied,Non-Local
American Studies BA,2.72,no,Applied,Non-Local
American Studies BA,2.92,no,Applied,Non-Local
American Studies BA,2.94,no,Applied,Non-Local
American Studies BA,2.95,no,Applied,Non-Local
American Studies BA,3.05,no,Admitted,Local
American Studies BA,3.13,no,Applied,Non-Local
American Studies BA,3.24,no,Enrolled,Local
American Studies BA,3.33,no,Applied,Non-Local
American Studies BA,3.36,no,Admitted,Local
American Studies BA,3.42,no,Applied,Non-Local
American Studies BA,3.42,no,Applied,Non-Local
American Studies BA,3.48,no,Enrolled,Local
American Studies BA,3.74,no,Applied,Non-Local
American Studies BA,3.91,no,Applied,Non-Local
American Studies BA,3.91,no,Applied,Non-Local
American Studies BA,3.95,no,Admitted,Non-Local
American Studies BA,4.14,no,Applied,Non-Local
American Studies BA,4.28,no,Admitted,Non-Local
American Studies BA,4.29,no,Admitted,Non-Local
American Studies BA,4.33,no,Admitted,Non-Local
American Studies BA,4.33,no,Admitted,Non-Local
Anthropology BA,1.89,no,Applied,Non-Local
Anthropology BA,4.36,no,Admitted,Non-Local
Anthropology BA,2.44,no,Applied,Non-Local
Anthropology BA,2.57,no,Applied,Non-Local
Anthropology BA,2.67,no,Applied,Non-Local
Anthropology BA,2.71,no,Applied,Non-Local
Anthropology BA,2.78,no,Admitted,Non-Local
Anthropology BA,2.79,no,Applied,Non-Local
Anthropology BA,2.83,no,Applied,Non-Local
Anthropology BA,2.86,no,Applied,Non-Local
Anthropology BA,2.86,no,Applied,Non-Local
Anthropology BA,2.87,no,Applied,Non-Local
Anthropology BA,2.88,no,Applied,Non-Local
Anthropology BA,2.88,no,Applied,Non-Local
Anthropology BA,2.91,no,Applied,Non-Local
Anthropology BA,2.92,no,Applied,Non-Local
Anthropology BA,2.96,no,Applied,Non-Local
Anthropology BA,3,no,Applied,Non-Local
Anthropology BA,3,no,Admitted,Local
Anthropology BA,3.03,no,Applied,Non-Local
Anthropology BA,3.05,no,Applied,Non-Local
Anthropology BA,3.05,no,Applied,Non-Local
Anthropology BA,3.1,no,Applied,Non-Local
Anthropology BA,3.13,no,Applied,Non-Local
Anthropology BA,3.14,no,Applied,Non-Local
Anthropology BA,3.15,no,Applied,Non-Local
Anthropology BA,3.17,no,Applied,Non-Local
Anthropology BA,3.22,no,Applied,Non-Local
Anthropology BA,3.24,no,Applied,Non-Local
Anthropology BA,3.25,no,Applied,Non-Local
Anthropology BA,3.25,no,Admitted,Local
Anthropology BA,3.26,no,Applied,Non-Local
Anthropology BA,3.26,no,Applied,Non-Local
Anthropology BA,3.27,no,Applied,Non-Local
Anthropology BA,3.28,no,Applied,Non-Local
Anthropology BA,3.29,no,Applied,Non-Local
Anthropology BA,3.32,no,Applied,Non-Local
Anthropology BA,3.32,no,Applied,Non-Local
Anthropology BA,3.33,no,Applied,Non-Local
Anthropology BA,3.35,no,Applied,Non-Local
Anthropology BA,3.35,no,Applied,Non-Local
Anthropology BA,3.35,no,Applied,Non-Local
Anthropology BA,3.36,no,Applied,Non-Local
Anthropology BA,3.36,no,Applied,Non-Local
Anthropology BA,3.38,no,Applied,Non-Local
Anthropology BA,3.39,no,Applied,Non-Local
Anthropology BA,3.4,no,Applied,Non-Local
Anthropology BA,3.4,no,Applied,Non-Local
Anthropology BA,3.41,no,Applied,Non-Local
Anthropology BA,3.41,no,Applied,Non-Local
Anthropology BA,3.41,no,Applied,Non-Local
Anthropology BA,3.41,no,Applied,Non-Local
Anthropology BA,3.43,no,Applied,Non-Local
Anthropology BA,3.46,no,Applied,Non-Local
Anthropology BA,3.46,no,Enrolled,Local
Anthropology BA,3.47,no,Applied,Non-Local
Anthropology BA,3.5,no,Applied,Non-Local
Anthropology BA,3.5,no,Applied,Non-Local
Anthropology BA,3.5,no,Applied,Non-Local
Anthropology BA,3.5,no,Applied,Non-Local
Anthropology BA,3.5,no,Applied,Non-Local
Anthropology BA,3.54,no,Applied,Non-Local
Anthropology BA,3.55,no,Applied,Non-Local
Anthropology BA,3.55,no,Applied,Non-Local
Anthropology BA,3.56,no,Applied,Non-Local
Anthropology BA,3.56,no,Applied,Non-Local
Anthropology BA,3.56,no,Applied,Non-Local
Anthropology BA,3.6,no,Applied,Non-Local
Anthropology BA,3.6,no,Applied,Non-Local
Anthropology BA,3.65,no,Admitted,Non-Local
Anthropology BA,3.65,no,Applied,Non-Local
Anthropology BA,3.67,no,Applied,Non-Local
Anthropology BA,3.68,no,Applied,Non-Local
Anthropology BA,3.7,no,Applied,Non-Local
Anthropology BA,3.71,no,Applied,Non-Local
Anthropology BA,3.73,no,Applied,Non-Local
Anthropology BA,3.74,no,Applied,Non-Local
Anthropology BA,3.76,no,Applied,Non-Local
Anthropology BA,3.77,no,Applied,Non-Local
Anthropology BA,3.78,no,Applied,Non-Local
Anthropology BA,3.79,no,Applied,Non-Local
Anthropology BA,3.79,no,Applied,Non-Local
Anthropology BA,3.82,no,Applied,Non-Local
Anthropology BA,3.82,no,Applied,Non-Local
Anthropology BA,3.82,no,Applied,Non-Local
Anthropology BA,3.83,no,Applied,Non-Local
Anthropology BA,3.83,no,Applied,Non-Local
Anthropology BA,3.85,no,Admitted,Non-Local
Anthropology BA,3.87,no,Applied,Non-Local
Anthropology BA,3.88,no,Applied,Non-Local
Anthropology BA,3.88,no,Applied,Non-Local
Anthropology BA,3.88,no,Admitted,Non-Local
Anthropology BA,3.88,no,Applied,Non-Local
Anthropology BA,3.88,no,Applied,Non-Local
Anthropology BA,3.88,no,Applied,Non-Local
Anthropology BA,3.91,no,Enrolled,Non-Local
Anthropology BA,3.91,no,Admitted,Non-Local
Anthropology BA,3.92,no,Admitted,Non-Local
Anthropology BA,3.93,no,Admitted,Non-Local
Anthropology BA,3.93,no,Applied,Non-Local
Anthropology BA,3.93,no,Admitted,Non-Local
Anthropology BA,3.96,no,Applied,Non-Local
Anthropology BA,4,no,Admitted,Non-Local
Anthropology BA,4,no,Admitted,Non-Local
Anthropology BA,4,no,Applied,Non-Local
Anthropology BA,4,no,Admitted,Local
Anthropology BA,4,no,Admitted,Non-Local
Anthropology BA,4,no,Applied,Non-Local
Anthropology BA,4.03,no,Admitted,Non-Local
Anthropology BA,4.04,no,Admitted,Non-Local
Anthropology BA,4.04,no,Enrolled,Non-Local
Anthropology BA,4.05,no,Applied,Non-Local
Anthropology BA,4.05,no,Applied,Non-Local
Anthropology BA,4.06,no,Admitted,Non-Local
Anthropology BA,4.06,no,Admitted,Non-Local
Anthropology BA,4.06,no,Applied,Non-Local
Anthropology BA,4.07,no,Admitted,Non-Local
Anthropology BA,4.08,no,Applied,Non-Local
Anthropology BA,4.08,no,Admitted,Non-Local
Anthropology BA,4.08,no,Admitted,Non-Local
Anthropology BA,4.09,no,Admitted,Local
Anthropology BA,4.1,no,Admitted,Non-Local
Anthropology BA,4.12,no,Admitted,Non-Local
Anthropology BA,4.12,no,Admitted,Non-Local
Anthropology BA,4.12,no,Admitted,Non-Local
Anthropology BA,4.12,no,Admitted,Non-Local
Anthropology BA,4.12,no,Applied,Non-Local
Anthropology BA,4.13,no,Admitted,Non-Local
Anthropology BA,4.13,no,Admitted,Non-Local
Anthropology BA,4.13,no,Admitted,Non-Local
Anthropology BA,4.14,no,Admitted,Non-Local
Anthropology BA,4.14,no,Admitted,Non-Local
Anthropology BA,4.15,no,Admitted,Local
Anthropology BA,4.15,no,Applied,Non-Local
Anthropology BA,4.16,no,Admitted,Non-Local
Anthropology BA,4.16,no,Admitted,Non-Local
Anthropology BA,4.18,no,Admitted,Non-Local
Anthropology BA,4.19,no,Applied,Non-Local
Anthropology BA,4.19,no,Admitted,Non-Local
Anthropology BA,4.19,no,Admitted,Non-Local
Anthropology BA,4.19,no,Admitted,Non-Local
Anthropology BA,4.21,no,Admitted,Non-Local
Anthropology BA,4.21,no,Admitted,Non-Local
Anthropology BA,4.22,no,Admitted,Non-Local
Anthropology BA,4.23,no,Applied,Non-Local
Anthropology BA,4.23,no,Admitted,Non-Local
Anthropology BA,4.25,no,Admitted,Non-Local
Anthropology BA,4.25,no,Admitted,Local
Anthropology BA,4.25,no,Admitted,Non-Local
Anthropology BA,4.29,no,Admitted,Non-Local
Anthropology BA,4.29,no,Admitted,Non-Local
Anthropology BA,4.31,no,Admitted,Non-Local
Anthropology BA,4.31,no,Admitted,Non-Local
Anthropology BA,4.32,no,Admitted,Local
Anthropology BA,4.33,no,Admitted,Non-Local
Art Education BA,2.14,no,Applied,Non-Local
Art Education BA,4.44,no,Admitted,Non-Local
Art Education BA,2.33,no,Applied,Non-Local
Art Education BA,2.33,no,Applied,Non-Local
Art Education BA,2.45,no,Applied,Local
Art Education BA,2.53,no,Applied,Non-Local
Art Education BA,2.54,no,Applied,Non-Local
Art Education BA,2.59,no,Applied,Non-Local
Art Education BA,2.61,no,Applied,Non-Local
Art Education BA,2.62,no,Applied,Non-Local
Art Education BA,2.67,no,Applied,Non-Local
Art Education BA,2.67,no,Applied,Non-Local
Art Education BA,2.76,no,Applied,Non-Local
Art Education BA,2.83,no,Applied,Non-Local
Art Education BA,2.91,no,Applied,Non-Local
Art Education BA,2.95,no,Applied,Non-Local
Art Education BA,2.96,no,Applied,Non-Local
