province,2011+pop_dens,2012+pop_dens,2013+pop_dens,2014+pop_dens,2015+pop_dens,2010+literacy,2011+literacy,2012+literacy,2013+literacy,2014+literacy,2015+literacy,2010+in_migration,2011+in_migration,2012+in_migration,2013+in_migration,2014+in_migration,2015+in_migration,2010+urban,2011+urban,2012+urban,2013+urban,2014+urban,2015+urban,2010+rural,2011+rural,2012+rural,2013+rural,2014+rural,2015+rural,2011+pop,2012+pop,2013+pop,2014+pop,2015+pop
Red River Delta,959.59,975.03,987,1000.98,1014.64,97.3,97.6,98,98.1,98.1,98.2,3.5,4.5,2.7,3.6,3.1,1.8,6022.08,6164.16,6310.29,6467.57,7117.52,7254.2,13875.73,14052.65,14215.07,14318.07,13963.07,14114.1,20216.81,20525.36,20785.63,21080.59,21368.4
Ha Noi,2050.47,2103.57,2144.33,2191.47,2236.01,97.8,98,98.3,98.2,98.6,98.5,10.8,11,6.1,7.7,7.5,4.7,2825.52,2900.37,2972.61,3024.64,3583.51,3650.5,3813.57,3925.45,4018.82,4103.75,3702.03,3783.1,6825.82,6991.43,7128.39,7285.53,7433.6
Vinh Phuc,832.59,847.06,857.02,870.16,881.13,97,97.4,98.1,98.1,97.7,97.8,4.8,4.3,2.9,6.4,4.9,2.8,232.87,236.95,244.56,251.44,251.06,254.2,781.96,792.56,802.84,810.06,825.77,836.1,1029.5,1047.39,1061.5,1076.82,1090.4
Bac Ninh,1303.49,1342.76,1385.54,1430.73,1481.1,96.5,97.2,97.8,97.6,97.8,97.5,9.8,13.4,12.7,19.4,15.4,16,272.68,279.35,286.35,293.7,327.28,336.1,773.24,793.03,818.34,846.19,849.78,882.4,1072.38,1104.69,1139.89,1177.06,1218.5
Quang Ninh,193.62,196.38,198.21,201.18,203.46,96.9,96.9,95.5,95.5,97.2,96.8,3.7,3.6,2,4.5,3.8,1.7,616.87,639.93,663.31,684.2,709.67,733.5,547.08,541.6,535.08,525.39,518,508.1,1181.53,1198.39,1209.58,1227.67,1241.6
Hai Duong,1055.45,1067.53,1074.68,1084.41,1094.69,97.4,97.6,98.4,98.7,98,98.2,5,7.8,5.6,5.6,4,1.4,336.46,351.49,366.07,379.46,394.26,409.8,1386.3,1396.34,1401.76,1400.22,1401.53,1403,1747.83,1767.83,1779.67,1795.79,1812.8
Hai Phong,1238.15,1255.29,1265.01,1277.14,1289.45,98.1,98.3,98.3,98.5,98.1,98.2,7,7.1,6,6.6,4,2.9,857.87,867.64,878.95,886.79,894.29,901.9,1004.98,1018.55,1033.98,1045.38,1056.42,1067.6,1886.2,1912.94,1932.17,1950.71,1969.5
Hung Yen,1242.7,1255.84,1269.46,1283.64,1298.06,95.5,96.5,97.9,98,98,98,6.5,8,7,10.9,7.4,3.5,137.75,139.27,140.9,142.65,144.48,146.1,1001.67,1011.47,1022.01,1032.87,1044.17,1055.9,1150.74,1162.91,1175.52,1188.65,1202
Thai Binh,1145.65,1150.63,1155.71,1160.19,1165.2,97.3,97.7,98.5,98.5,98.5,98.4,2.7,2.3,1.2,2.2,4.7,0.5,175.52,177.79,180.09,182.42,184.78,187.2,1615.36,1620.88,1626.4,1632.62,1637.65,1643.2,1798.66,1806.48,1815.04,1822.43,1830.3
Ha Nam,924.63,930.63,938.33,945.56,956.26,97,97.7,98.4,98.2,98.1,98.2,4.1,6.6,1.4,6.1,6.7,2.6,82.7,84.3,86.26,127.25,129.76,133,708.7,711.34,714.55,680.19,685.31,691.2,795.65,800.81,807.44,815.07,824.3
Nam Dinh,1100.16,1096.15,1092.94,1089.73,1086.92,96.6,97.1,98.2,98.6,97.6,98,4.1,6.1,2.3,3.5,4.6,0.6,320.74,320.01,319.32,318.68,318.08,317.5,1501.61,1496.8,1492.18,1487.73,1483.46,1479.4,1816.81,1811.5,1806.41,1801.54,1796.9
