"Cities, provinces",2010,2011,2012,2013,2014,2015
WHOLE COUNTRY,93.7,94.2,94.7,94.8,94.7,94.9
Red River Delta,97.3,97.6,98,98.1,98.1,98.2
Ha Noi,97.8,98,98.3,98.2,98.6,98.5
Ha Tay,..,..,..,..,..,..
Vinh Phuc,97,97.4,98.1,98.1,97.7,97.8
Bac Ninh,96.5,97.2,97.8,97.6,97.8,97.5
Quang Ninh,96.9,96.9,95.5,95.5,97.2,96.8
Hai Duong,97.4,97.6,98.4,98.7,98,98.2
Hai Phong,98.1,98.3,98.3,98.5,98.1,98.2
Hung Yen,95.5,96.5,97.9,98,98,98
Thai Binh,97.3,97.7,98.5,98.5,98.5,98.4
Ha Nam,97,97.7,98.4,98.2,98.1,98.2
Nam Dinh,96.6,97.1,98.2,98.6,97.6,98
Ninh Binh,96.5,97,97.3,97.4,97.3,97.8
Northern midlands and mountain areas,88.3,89.3,89.2,89.5,89,89.9
Ha Giang,74.6,81,73.3,72.4,73,74.9
Cao Bang,84.6,84.9,85,86.5,81.5,85.5
Bac Kan,90.7,89.2,91.2,91.8,92.6,93.9
Tuyen Quang,94.2,94,93.5,93.2,94.8,94.5
Lao Cai,75.5,78.4,80.4,80.7,78.5,83.3
Yen Bai,84.8,86.3,86.8,88.1,87.6,89
Thai  Nguyen,97.3,97.8,97.8,98.1,97.8,98.4
Lang Son,93.6,94.7,96.2,96.6,95.1,96.7
Bac Giang,96.9,97.4,97.7,97.7,97.8,97.7
Phu Tho,97,97.1,98.2,98.1,97.6,97.8
Dien Bien,63.4,65,70.8,71.4,70.2,75.1
Lai Chau,63.6,61.7,65.8,64.3,66.6,59.2
Son La,77,78.3,74.9,75.5,75.8,77.7
Hoa Binh,95.9,97,96.4,97.5,96.7,96.8
Northern Central area and Central coastal area,93.3,93.9,94.5,94.7,95.2,95.2
Thanh Hoa,94.5,95.3,95.4,95.6,95.8,96
Nghe An,95.4,95.5,95.7,95.8,97.2,97
Ha Tinh,97.4,97.4,98.4,98.3,97.5,97.6
Quang Binh,96.6,97,96.7,96.5,97.6,97.1
Quang Tri,91,92,92.5,92.8,92.7,92.2
Thua Thien-Hue,91,92.1,93.5,92.9,92.5,92.6
Da Nang,97.4,97.7,97.7,98.1,97.8,97.5
Quang  Nam,92.1,93.7,95.1,94.9,94.5,94.8
Quang  Ngai,86.7,86.1,86,88.9,92.6,93.7
Binh Dinh,92.7,93.8,95.7,95.8,95.7,96.1
Phu Yen,94.9,94.1,95.2,95.2,93.5,93.2
Khanh  Hoa,92.6,94.2,94.2,93,95.6,94.8
Ninh  Thuan,78.9,80.5,86.1,85,87.5,87.5
Binh Thuan,92.8,93.9,93.3,93.9,93,93.3
Central Highlands,89.9,90.8,92.1,91.2,90.3,90.4
Kon Tum,84.3,88.2,87.6,88.2,86.8,87.9
Gia Lai,82.5,83.9,87.9,83.9,85.6,84
Dak Lak,92.6,93.2,94.6,94.2,91.4,92.9
Dak Nong,94.6,93.9,94.2,94,92.3,93.7
Lam Dong,93.5,94.1,93.6,94.3,94,92.6
South East,96.3,96.7,97,97.1,97.2,97.3
Binh Phuoc,94.1,94.9,92.8,93.3,92.7,93.4
Tay Ninh,92.1,92.7,91.8,93.4,93.1,93.4
Binh  Duong,95.3,96.2,97.1,97.2,97.2,97.3
Dong Nai,96.8,97.1,97,97.2,97.3,97.1
Ba Ria - Vung Tau,96.2,96.4,96,96.2,96.2,96.8
Ho Chi Minh city,97.2,97.5,98.2,98.1,98.4,98.3
Mekong River Delta,92.2,92.3,93.1,93.4,92.6,92.9
Long An,94.9,95.2,95,95.2,95.6,95.2
Tien Giang,95,95.2,95.7,95.2,94.5,94.9
Ben Tre,95.3,94,95.1,96.1,95.1,94.6
Tra Vinh,85,85.8,89.3,88.5,87.1,88.3
Vinh Long,93.2,93,93.8,93.4,93.9,93.7
Dong Thap,91.7,91,93,94.7,92,93.6
An Giang,88.4,88.5,89.1,91,89.5,90.5
Kien  Giang,92.5,92.6,92.3,91.7,91.9,91.3
Can Tho,94.4,95.1,95.4,94.5,94.2,94.2
Hau Giang,93.5,93.3,95.2,94.7,94.3,94.3
Soc Trang,87,87.4,88.3,88.7,87.1,88.5
Bac Lieu,93.7,94.6,94.5,95.4,94.3,94.1
Ca Mau,95.9,95.7,96,95.5,96,95.6
