provinces,2011+pop,2012+pop,2013+pop,2014+pop,2015+pop
 WHOLE COUNTRY,88145.83,89202.89,90191.42,91203.76,92228.6
Red River Delta,20216.81,20525.36,20785.63,21080.59,21368.4
Ha Noi,6825.82,6991.43,7128.39,7285.53,7433.6
Ha Tay,..,..,..,..,..
Vinh Phuc,1029.5,1047.39,1061.5,1076.82,1090.4
Bac Ninh,1072.38,1104.69,1139.89,1177.06,1218.5
Quang Ninh,1181.53,1198.39,1209.58,1227.67,1241.6
Hai Duong,1747.83,1767.83,1779.67,1795.79,1812.8
Hai Phong,1886.2,1912.94,1932.17,1950.71,1969.5
Hung Yen,1150.74,1162.91,1175.52,1188.65,1202
Thai Binh,1798.66,1806.48,1815.04,1822.43,1830.3
Ha Nam,795.65,800.81,807.44,815.07,824.3
Nam Dinh,1816.81,1811.5,1806.41,1801.54,1796.9
Ninh Binh,911.69,920.99,930.03,939.31,948.5
Northern midlands and mountain areas,11311.41,11441.84,11574.49,11739.21,11907
Ha Giang,749.54,763.5,778.96,792.47,806.7
Cao Bang,514.02,515.88,517.85,519.87,522
Bac Kan,298.69,300.8,301.73,302.94,305.6
Tuyen Quang,733.6,738.53,743.37,749.59,756.2
Lao Cai,638.15,649.51,661,672.64,684.5
Yen Bai,758.65,765.69,774.58,783.53,793.1
Thai  Nguyen,1139.44,1149.08,1155.99,1198.17,1230.8
Lang Son,740.91,745.13,748.94,752.59,757.8
Bac Giang,1586.02,1607.77,1630.65,1646.86,1667
Phu Tho,1329.34,1340.81,1355.24,1373.67,1392.3
Dien Bien,512.8,523.88,534.97,546.06,557.1
Lai Chau,392.88,402.95,414.55,421.46,427.9
Son La,1115.21,1129.87,1143.91,1159.74,1177.4
Hoa Binh,802.18,808.43,812.75,819.62,828.6
Northern Central area and Central coastal area,19116.29,19253.84,19391.97,19511.45,19653.7
Thanh Hoa,3427.59,3449.44,3484.77,3507.09,3537
Nghe An,2996.14,3035.99,3076.38,3116.33,3160.6
Ha Tinh,1236.71,1242.09,1247.56,1255.25,1261.3
Quang Binh,854.57,859.79,865.02,870.49,875.6
Quang Tri,604.72,607.77,611,614.37,617.9
Thua Thien-Hue,1100.77,1105.78,1109.8,1111.58,1114.7
Da Nang,968.65,996.29,1017.33,1033.93,1056.3
Quang  Nam,1436.83,1443.98,1451.37,1459.79,1468.2
Quang  Ngai,1220.12,1221.83,1223.05,1224.52,1226.2
Binh Dinh,1487.46,1487.51,1487.55,1487.6,1487.6
Phu Yen,863.96,864.87,865.28,865.67,866.2
Khanh  Hoa,1170.24,1177.6,1184.92,1192.15,1198.4
Ninh  Thuan,567.85,571.31,573.28,575.42,578.3
Binh Thuan,1180.68,1189.59,1194.66,1197.26,1205.4
Central Highlands,5278.04,5358.01,5438.74,5509.2,5584.3
Kon Tum,451.61,462.71,473.25,484.22,495.9
Gia Lai,1336.1,1359.97,1382.97,1403.13,1426.4
Dak Lak,1760.42,1777.26,1794.56,1805.83,1820.1
Dak Nong,512.67,529.37,548.1,564.96,580.5
Lam Dong,1217.24,1228.71,1239.86,1251.07,1261.4
South East,15005.55,15371.24,15730.65,16093.51,16448.5
Binh Phuoc,899.57,911.35,923.49,934.37,947.2
Tay Ninh,1090.06,1103.41,1111.4,1120.73,1129.9
Binh  Duong,1699.93,1789.71,1873.48,1977.84,2069.2
Dong Nai,2661.78,2719.05,2771.42,2831.29,2890
Ba Ria - Vung Tau,1040.8,1057.84,1076.85,1093.37,1104.3
Ho Chi Minh city,7613.43,7789.87,7974.02,8135.91,8307.9
Mekong River Delta,17217.72,17252.6,17269.94,17269.81,17266.7
Long An,1504.08,1549.76,1587.85,1611.7,1626.2
Tien Giang,1682.6,1692.46,1705.77,1716.09,1728.7
Ben Tre,1262.66,1266.73,1269.72,1272.51,1275.8
Tra Vinh,1004.35,1005.12,1005.62,1006.24,1006.9
Vinh Long,1024.85,1022.6,1023.84,1023.75,1023.2
Dong Thap,1653.23,1646.17,1639.21,1632.37,1625.6
An Giang,2097.54,2077.94,2051.62,2024.59,2000.9
Kien  Giang,1694.45,1698.15,1701.11,1703.4,1705.4
Can Tho,1195.93,1200.93,1203.23,1205.72,1208.5
Hau Giang,752.73,750.73,747.88,744.95,742.4
Soc Trang,1273.93,1266.42,1254.98,1245.61,1236.3
Bac Lieu,866.87,872.14,877.04,882.16,887.3
Ca Mau,1204.5,1203.46,1202.07,1200.74,1199.5
