"Cities, provincies",Urban 2010,Urban 2011,Urban 2012,Urban 2013,Urban 2014,Urban 2015,Rural 2010,Rural 2011,Rural 2012,Rural 2013,Rural 2014,Rural 2015
WHOLE COUNTRY,26460.52,27678.62,28274.89,28865.08,30272.69,30881.9,60606.75,60467.21,60928,61326.34,60931.08,61346.7
Red River Delta,6022.08,6164.16,6310.29,6467.57,7117.52,7254.2,13875.73,14052.65,14215.07,14318.07,13963.07,14114.1
Ha Noi,2825.52,2900.37,2972.61,3024.64,3583.51,3650.5,3813.57,3925.45,4018.82,4103.75,3702.03,3783.1
Ha Tay,..,..,..,..,..,..,..,..,..,..,..,..
Vinh Phuc,232.87,236.95,244.56,251.44,251.06,254.2,781.96,792.56,802.84,810.06,825.77,836.1
Bac Ninh,272.68,279.35,286.35,293.7,327.28,336.1,773.24,793.03,818.34,846.19,849.78,882.4
Quang Ninh,616.87,639.93,663.31,684.2,709.67,733.5,547.08,541.6,535.08,525.39,518,508.1
Hai Duong,336.46,351.49,366.07,379.46,394.26,409.8,1386.3,1396.34,1401.76,1400.22,1401.53,1403
Hai Phong,857.87,867.64,878.95,886.79,894.29,901.9,1004.98,1018.55,1033.98,1045.38,1056.42,1067.6
Hung Yen,137.75,139.27,140.9,142.65,144.48,146.1,1001.67,1011.47,1022.01,1032.87,1044.17,1055.9
Thai Binh,175.52,177.79,180.09,182.42,184.78,187.2,1615.36,1620.88,1626.4,1632.62,1637.65,1643.2
Ha Nam,82.7,84.3,86.26,127.25,129.76,133,708.7,711.34,714.55,680.19,685.31,691.2
Nam Dinh,320.74,320.01,319.32,318.68,318.08,317.5,1501.61,1496.8,1492.18,1487.73,1483.46,1479.4
Ninh Binh,163.1,167.06,171.87,176.35,180.35,184.4,741.26,744.63,749.11,753.68,758.96,764.1
Northern midlands and mountain areas,1850.86,1917.65,1952.53,2000.02,2053.99,2122.3,9338.09,9393.76,9489.31,9574.47,9685.22,9784.7
Ha Giang,105.19,112.66,114.94,116.88,118.77,120.9,632.58,636.88,648.57,662.08,673.7,685.8
Cao Bang,98.58,99.46,104.22,105.29,106.34,108.6,413.96,414.56,411.66,412.56,413.53,413.3
Bac Kan,48.9,50.55,52.26,53.82,55.48,57.5,247.72,248.14,248.54,247.91,247.47,248.2
Tuyen Quang,95.45,96.54,97.78,99.03,100.47,102,634.3,637.06,640.75,644.34,649.12,654.2
Lao Cai,133.35,143.58,146.72,150.64,153.9,157.2,493.58,494.56,502.78,510.36,518.74,527.2
Yen Bai,142.76,144.38,146.05,147.77,156.04,158,608.53,614.26,619.64,626.82,627.5,635.1
Thai  Nguyen,293.56,322.21,326.9,344.21,347.72,387.8,837.72,817.24,822.19,811.78,850.45,843
Lang Son,142.14,143.97,145.74,147.45,149.15,151.2,594.16,596.94,599.39,601.49,603.45,606.6
Bac Giang,150.13,154.81,160.1,165.66,186.08,189.1,1419.02,1431.22,1447.67,1464.99,1460.78,1477.9
Phu Tho,239.4,240.86,242.83,248.04,252.57,255.7,1083.26,1088.49,1097.98,1107.2,1121.11,1136.6
