province,ID,year,quarter,pop_dens,literacy,in_migration,pop,urban_rural_ratio,cases,incidence,diff
an giang,1,2013,2,580.09,91,3.1,2051620,0.421665708088781,1000,48.741969760482,0.132502831257078
an giang,1,2011,1,593.08,88.5,3.9,2097540,0.408791725434885,956,45.5771999580461,0
an giang,1,2013,3,580.09,91,3.1,2051620,0.421665708088781,1098,53.5186827970092,0.098
an giang,1,2013,1,580.09,91,3.1,2051620,0.421665708088781,883,43.0391592985056,-0.00850564664371768
an giang,1,2011,4,593.08,88.5,3.9,2097540,0.408791725434885,857,40.8573853180392,-0.0911983032873807
an giang,1,2011,2,593.08,88.5,3.9,2097540,0.408791725434885,1042,49.6772409584561,0.0899581589958158
an giang,1,2013,4,580.09,91,3.1,2051620,0.421665708088781,871,42.4542556613798,-0.206739526411657
an giang,1,2014,1,572.45,89.5,4.3,2024590,0.428302339362813,847,41.8356309178649,-0.0145715602329519
an giang,1,2012,4,587.54,89.1,2.2,2077940,0.415162700736887,902,43.4083756027604,-0.063343717549325
an giang,1,2014,2,572.45,89.5,4.3,2024590,0.428302339362813,886,43.7619468633155,0.0460448642266824
an giang,1,2014,3,572.45,89.5,4.3,2024590,0.428302339362813,922,45.5400846591162,0.0406320541760722
an giang,1,2011,3,593.08,88.5,3.9,2097540,0.408791725434885,943,44.9574263184492,-0.0950095969289828
an giang,1,2015,3,565.75,90.5,2.1,2000900,0.435088222636637,993,49.6276675496027,0.00404448938321535
an giang,1,2012,1,587.54,89.1,2.2,2077940,0.415162700736887,875,42.1090118097731,0.0306340330393414
an giang,1,2012,2,587.54,89.1,2.2,2077940,0.415162700736887,1018,48.9908274541132,0.163428571428571
an giang,1,2012,3,587.54,89.1,2.2,2077940,0.415162700736887,963,46.3439752832132,-0.0540275049115913
an giang,1,2014,4,572.45,89.5,4.3,2024590,0.428302339362813,845,41.7368454847648,-0.0835140997830803
an giang,1,2015,1,565.75,90.5,2.1,2000900,0.435088222636637,823,41.1314908291269,-0.0145040826302719
an giang,1,2015,2,565.75,90.5,2.1,2000900,0.435088222636637,989,49.4277575091209,0.201701093560146
an giang,1,2015,4,565.75,90.5,2.1,2000900,0.435088222636637,865,43.2305462541856,-0.128902316213494
ba ria - vung tau,45,2013,2,541.27,96.2,10.8,1076850,1.13658459157556,267,24.7945396294749,-0.00743494423791816
ba ria - vung tau,45,2013,1,541.27,96.2,10.8,1076850,1.13658459157556,269,24.9802665180852,-0.110265147020498
ba ria - vung tau,45,2012,1,531.71,96,10.5,1057840,1.09820100362973,294,27.7924827951297,-0.0227562130685477
ba ria - vung tau,45,2012,3,531.71,96,10.5,1057840,1.09820100362973,298,28.1706118127505,0
ba ria - vung tau,45,2013,4,541.27,96.2,10.8,1076850,1.13658459157556,289,26.8375354041881,0.10727969348659
ba ria - vung tau,45,2014,1,549.57,96.2,15,1093370,1.17705035541485,275,25.1515955257598,-0.0628202200029603
ba ria - vung tau,45,2011,4,523.14,96.4,16.5,1040800,1.06176581288009,296,28.4396617986164,-0.126843657817109
ba ria - vung tau,45,2015,3,555.06,96.8,6,1104300,1.21969849246231,291,26.3515349089921,-0.0135593220338983
ba ria - vung tau,45,2013,3,541.27,96.2,10.8,1076850,1.13658459157556,261,24.237358963644,-0.0224719101123595
ba ria - vung tau,45,2012,4,531.71,96,10.5,1057840,1.09820100362973,297,28.0760795583453,-0.00335570469798666
ba ria - vung tau,45,2011,3,523.14,96.4,16.5,1040800,1.06176581288009,339,32.5710991544965,0.0462962962962964
ba ria - vung tau,45,2015,1,555.06,96.8,6,1104300,1.21969849246231,239,21.64266956443,-0.175489699593701
ba ria - vung tau,45,2012,2,531.71,96,10.5,1057840,1.09820100362973,298,28.1706118127505,0.0136054421768708
ba ria - vung tau,45,2011,1,523.14,96.4,16.5,1040800,1.06176581288009,258,24.7886241352806,0
ba ria - vung tau,45,2014,4,549.57,96.2,15,1093370,1.17705035541485,287,26.2491196941566,0.025
ba ria - vung tau,45,2011,2,523.14,96.4,16.5,1040800,1.06176581288009,324,31.129900076864,0.255813953488372
ba ria - vung tau,45,2014,3,549.57,96.2,15,1093370,1.17705035541485,280,25.6088972625918,-0.141104294478528
ba ria - vung tau,45,2015,4,555.06,96.8,6,1104300,1.21969849246231,237,21.4615593588699,-0.185567010309278
ba ria - vung tau,45,2015,2,555.06,96.8,6,1104300,1.21969849246231,295,26.7137553201123,0.234309623430962
ba ria - vung tau,45,2014,2,549.57,96.2,15,1093370,1.17705035541485,326,29.8160732414462,0.185454545454546
bac giang,71,2014,4,427.81,97.8,4.8,1646860,0.127384000328592,250,15.1804039201875,-0.213836477987421
bac giang,71,2011,2,412.6,97.4,5.5,1586020,0.108166459384301,486,30.6427409490423,0.735714285714286
bac giang,71,2015,1,433.04,97.7,3.1,1667000,0.127951823533392,169,10.1379724055189,-0.332167150569886
bac giang,71,2011,1,412.6,97.4,5.5,1586020,0.108166459384301,280,17.6542540447157,0
bac giang,71,2013,3,423.58,97.7,4.6,1630650,0.113079270165667,305,18.7041977125686,-0.0348101265822785
bac giang,71,2014,3,427.81,97.8,4.8,1646860,0.127384000328592,318,19.3094737864785,0.148014440433213
bac giang,71,2012,2,417.72,97.7,3.2,1607770,0.110591502206995,344,21.3960952126237,0.232974910394265
bac giang,71,2014,2,427.81,97.8,4.8,1646860,0.127384000328592,277,16.8198875435678,0.319047619047619
bac giang,71,2011,4,412.6,97.4,5.5,1586020,0.108166459384301,291,18.3478140250438,-0.308788598574822
bac giang,71,2013,1,423.58,97.7,4.6,1630650,0.113079270165667,239,14.6567319780456,-0.0795057042053782
bac giang,71,2013,4,423.58,97.7,4.6,1630650,0.113079270165667,219,13.4302272100083,-0.281967213114754
bac giang,71,2013,2,423.58,97.7,4.6,1630650,0.113079270165667,316,19.3787753349891,0.322175732217573
bac giang,71,2012,4,417.72,97.7,3.2,1607770,0.110591502206995,256,15.9226755070688,-0.313672922252011
bac giang,71,2015,2,433.04,97.7,3.1,1667000,0.127951823533392,275,16.496700659868,0.627218934911243
bac giang,71,2012,1,417.72,97.7,3.2,1607770,0.110591502206995,279,17.353228384657,-0.0542073098751303
bac giang,71,2011,3,412.6,97.4,5.5,1586020,0.108166459384301,421,26.5444319743761,-0.133744855967078
bac giang,71,2015,4,433.04,97.7,3.1,1667000,0.127951823533392,242,14.5170965806839,-0.0833333333333333
bac giang,71,2014,1,427.81,97.8,4.8,1646860,0.127384000328592,210,12.7515392929575,-0.0505343585360202
bac giang,71,2012,3,417.72,97.7,3.2,1607770,0.110591502206995,373,23.1998357974088,0.0843023255813954
bac giang,71,2015,3,433.04,97.7,3.1,1667000,0.127951823533392,264,15.8368326334733,-0.04
bac kan,72,2015,1,62.89,93.9,2.2,305600,0.231668009669621,23,7.5261780104712,-0.185721297681376
bac kan,72,2013,4,62.09,91.8,4.7,301730,0.217094913476665,27,8.94839757398999,-0.0689655172413792
bac kan,72,2014,4,62.34,92.6,4,302940,0.224188790560472,28,9.24275434079356,-0.222222222222222
bac kan,72,2014,1,62.34,92.6,4,302940,0.224188790560472,29,9.57285271010761,0.0697840178595444
bac kan,72,2014,2,62.34,92.6,4,302940,0.224188790560472,28,9.24275434079356,-0.0344827586206897
bac kan,72,2013,3,62.09,91.8,4.7,301730,0.217094913476665,29,9.61124183872999,-0.256410256410256
bac kan,72,2013,1,62.09,91.8,4.7,301730,0.217094913476665,24,7.95413117687999,-0.11385086740537
bac kan,72,2011,3,61.47,89.2,4.8,298690,0.203715644394294,39,13.0570156349392,0.147058823529412
bac kan,72,2011,4,61.47,89.2,4.8,298690,0.203715644394294,26,8.70467708995949,-0.333333333333333
bac kan,72,2012,1,61.9,91.2,3.1,300800,0.210267964915104,31,10.3058510638298,0.183944097790507
bac kan,72,2015,2,62.89,93.9,2.2,305600,0.231668009669621,29,9.48952879581152,0.260869565217391
bac kan,72,2012,4,61.9,91.2,3.1,300800,0.210267964915104,27,8.97606382978723,0.0384615384615385
bac kan,72,2013,2,62.09,91.8,4.7,301730,0.217094913476665,39,12.92546316243,0.625
bac kan,72,2015,4,62.89,93.9,2.2,305600,0.231668009669621,23,7.5261780104712,-0.206896551724138
bac kan,72,2014,3,62.34,92.6,4,302940,0.224188790560472,36,11.883541295306,0.285714285714286
bac kan,72,2011,1,61.47,89.2,4.8,298690,0.203715644394294,22,7.36549599919649,0
bac kan,72,2011,2,61.47,89.2,4.8,298690,0.203715644394294,34,11.3830392714855,0.545454545454546
bac kan,72,2012,2,61.9,91.2,3.1,300800,0.210267964915104,45,14.9601063829787,0.451612903225807
bac kan,72,2012,3,61.9,91.2,3.1,300800,0.210267964915104,26,8.6436170212766,-0.422222222222222
bac kan,72,2015,3,62.89,93.9,2.2,305600,0.231668009669621,29,9.48952879581152,0
bac lieu,73,2011,3,351.15,94.6,3,866870,0.362703178545603,240,27.6858121748359,0.148325358851675
bac lieu,73,2011,4,351.15,94.6,3,866870,0.362703178545603,205,23.648297899339,-0.145833333333333
bac lieu,73,2014,1,357.34,94.3,2.5,882160,0.370728902838852,216,24.4853541307699,0.106939947775797
bac lieu,73,2014,3,357.34,94.3,2.5,882160,0.370728902838852,235,26.6391584293099,0.192893401015228
bac lieu,73,2011,2,351.15,94.6,3,866870,0.362703178545603,209,24.1097281022529,-0.0141509433962264
bac lieu,73,2012,2,353.28,94.5,2.4,872140,0.365342768132505,214,24.5373449216869,0.585185185185185
bac lieu,73,2013,3,355.26,95.4,2.5,877040,0.368023709249727,235,26.7946729909696,0.211340206185567
bac lieu,73,2012,3,353.28,94.5,2.4,872140,0.365342768132505,259,29.6970669846584,0.210280373831776
bac lieu,73,2014,2,357.34,94.3,2.5,882160,0.370728902838852,197,22.33154983223,-0.0879629629629629
bac lieu,73,2013,2,355.26,95.4,2.5,877040,0.368023709249727,194,22.1198577031834,-0.0051282051282052
bac lieu,73,2013,4,355.26,95.4,2.5,877040,0.368023709249727,194,22.1198577031834,-0.174468085106383
bac lieu,73,2015,2,359.42,94.1,1.3,887300,0.373529411764706,217,24.4562154851798,0.148148148148148
bac lieu,73,2012,1,353.28,94.5,2.4,872140,0.365342768132505,135,15.4791661889146,-0.345442692966614
bac lieu,73,2014,4,357.34,94.3,2.5,882160,0.370728902838852,235,26.6391584293099,0
bac lieu,73,2015,4,359.42,94.1,1.3,887300,0.373529411764706,214,24.1181111236335,-0.0138248847926267
bac lieu,73,2015,1,359.42,94.1,1.3,887300,0.373529411764706,189,21.3005747774146,-0.200403615078975
bac lieu,73,2012,4,353.28,94.5,2.4,872140,0.365342768132505,187,21.441511683904,-0.277992277992278
bac lieu,73,2013,1,355.26,95.4,2.5,877040,0.368023709249727,195,22.2338775882514,0.0369547593485331
bac lieu,73,2015,3,359.42,94.1,1.3,887300,0.373529411764706,217,24.4562154851798,0
bac lieu,73,2011,1,351.15,94.6,3,866870,0.362703178545603,212,24.4558007544384,0
bac ninh,74,2014,2,1430.73,97.8,15.4,1177060,0.385134976111464,126,10.7046369768746,0.272727272727273
bac ninh,74,2013,4,1385.54,97.6,19.4,1139890,0.347085169997282,119,10.4396038214214,-0.0916030534351146
