"","province","year","quarter","pop_dens","literacy","in_migration","pop","urban_rural_ratio","cases","incidence","year_quarter","diff"
"1","vinh phuc",2011,"1",832.59,97.4,4.3,1029500,0.298967901483799,36,3.49684312773191,2011-01-01,0
"2","vinh phuc",2011,"2",832.59,97.4,4.3,1029500,0.298967901483799,95,9.2277804759592,2011-04-01,1.63888888888889
"3","vinh phuc",2011,"3",832.59,97.4,4.3,1029500,0.298967901483799,113,10.9762020398252,2011-07-01,0.189473684210526
"4","vinh phuc",2011,"4",832.59,97.4,4.3,1029500,0.298967901483799,109,10.5876639145216,2011-10-01,-0.0353982300884954
"5","vinh phuc",2012,"1",847.06,98.1,2.9,1047390,0.304618603955956,47,4.48734473309846,2012-01-01,-0.576172348373865
"6","vinh phuc",2012,"2",847.06,98.1,2.9,1047390,0.304618603955956,84,8.01993526766534,2012-04-01,0.787234042553192
"7","vinh phuc",2012,"3",847.06,98.1,2.9,1047390,0.304618603955956,51,4.8692464125111,2012-07-01,-0.392857142857143
"8","vinh phuc",2012,"4",847.06,98.1,2.9,1047390,0.304618603955956,46,4.3918693132453,2012-10-01,-0.0980392156862746
"9","vinh phuc",2013,"1",857.02,98.1,6.4,1061500,0.310396760733773,28,2.63777673104098,2013-01-01,-0.399395441233693
"10","vinh phuc",2013,"2",857.02,98.1,6.4,1061500,0.310396760733773,42,3.95666509656147,2013-04-01,0.5
"11","vinh phuc",2013,"3",857.02,98.1,6.4,1061500,0.310396760733773,40,3.76825247291569,2013-07-01,-0.0476190476190476
"12","vinh phuc",2013,"4",857.02,98.1,6.4,1061500,0.310396760733773,46,4.33349034385304,2013-10-01,0.15
"13","vinh phuc",2014,"1",870.16,97.7,4.9,1076820,0.304031388885525,18,1.67158856633421,2014-01-01,-0.614262768877443
"14","vinh phuc",2014,"2",870.16,97.7,4.9,1076820,0.304031388885525,33,3.06457903827938,2014-04-01,0.833333333333333
"15","vinh phuc",2014,"3",870.16,97.7,4.9,1076820,0.304031388885525,30,2.78598094389034,2014-07-01,-0.0909090909090908
"16","vinh phuc",2014,"4",870.16,97.7,4.9,1076820,0.304031388885525,22,2.04305269218625,2014-10-01,-0.266666666666667
"17","vinh phuc",2015,"1",881.13,97.8,2.8,1090400,0.304030618347088,13,1.19222303741746,2015-01-01,-0.41645017674915
"18","vinh phuc",2015,"2",881.13,97.8,2.8,1090400,0.304030618347088,36,3.3015407190022,2015-04-01,1.76923076923077
"19","vinh phuc",2015,"3",881.13,97.8,2.8,1090400,0.304030618347088,25,2.2927366104182,2015-07-01,-0.305555555555556
"20","vinh phuc",2015,"4",881.13,97.8,2.8,1090400,0.304030618347088,30,2.75128393250183,2015-10-01,0.2
"21","an giang",2011,"1",593.08,88.5,3.9,2097540,0.408791725434885,956,45.5771999580461,2011-01-01,0
